Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
2002-2003,17,Sporting CP,pt POR,1. Primeira Liga,3rd,25,11,1080,12.0,3,3,0,0,1,0,0.25,0.25,0.50,0.25,0.50,,,,,,,,,Matches
2003-2004,18,Manchester Utd,eng ENG,1. Premiership,3rd,29,15,1548,17.2,4,7,0,0,4,1,0.23,0.41,0.64,0.23,0.64,,,,,,,,,Matches
2004-2005,19,Manchester Utd,eng ENG,1. Premiership,3rd,33,25,2423,26.9,5,6,0,0,4,0,0.19,0.22,0.41,0.19,0.41,,,,,,,,,Matches
2005-2006,20,Manchester Utd,eng ENG,1. Premiership,2nd,33,24,2286,25.4,9,6,0,0,8,1,0.35,0.24,0.59,0.35,0.59,,,,,,,,,Matches
2006-2007,21,Manchester Utd,eng ENG,1. Premiership,1st,34,31,2794,31.0,17,13,3,4,2,0,0.55,0.42,0.97,0.45,0.87,,,,,,,,,Matches
2007-2008,22,Manchester Utd,eng ENG,1. Premier League,1st,34,31,2747,30.5,31,6,4,5,5,1,1.02,0.20,1.21,0.88,1.08,,,,,,,,,Matches
2008-2009,23,Manchester Utd,eng ENG,1. Premier League,1st,33,31,2743,30.5,18,6,4,4,6,1,0.59,0.20,0.79,0.46,0.66,,,,,,,,,Matches
2009-2010,24,Real Madrid,es ESP,1. La Liga,2nd,29,28,2461,27.3,26,7,4,5,4,2,0.95,0.26,1.21,0.80,1.06,,,,,,,,,Matches
2010-2011,25,Real Madrid,es ESP,1. La Liga,2nd,34,32,2914,32.4,40,9,8,8,2,0,1.24,0.28,1.51,0.99,1.27,,,,,,,,,Matches
2011-2012,26,Real Madrid,es ESP,1. La Liga,1st,38,37,3350,37.2,46,12,12,13,4,0,1.24,0.32,1.56,0.91,1.24,,,,,,,,,Matches
2012-2013,27,Real Madrid,es ESP,1. La Liga,2nd,34,30,2716,30.2,34,10,6,7,9,0,1.13,0.33,1.46,0.93,1.26,,,,,,,,,Matches
2013-2014,28,Real Madrid,es ESP,1. La Liga,3rd,30,30,2534,28.2,31,9,6,6,4,1,1.10,0.32,1.42,0.89,1.21,,,,,,,,,Matches
2014-2015,29,Real Madrid,es ESP,1. La Liga,2nd,35,35,3100,34.4,48,16,10,12,5,1,1.39,0.46,1.86,1.10,1.57,,,,,,,,,Matches
2015-2016,30,Real Madrid,es ESP,1. La Liga,2nd,36,36,3182,35.4,35,11,6,9,3,0,0.99,0.31,1.30,0.82,1.13,,,,,,,,,Matches
2016-2017,31,Real Madrid,es ESP,1. La Liga,1st,29,29,2537,28.2,25,6,6,7,4,0,0.89,0.21,1.10,0.67,0.89,,,,,,,,,Matches
2017-2018,32,Real Madrid,es ESP,1. La Liga,3rd,27,27,2288,25.4,26,5,3,4,1,0,1.02,0.20,1.22,0.90,1.10,24.1,21.0,4.3,0.95,0.17,1.11,0.82,0.99,Matches
2018-2019,33,Juventus,it ITA,1. Serie A,1st,31,30,2688,29.9,21,8,5,6,3,0,0.70,0.27,0.97,0.54,0.80,22.8,18.2,3.8,0.76,0.13,0.89,0.61,0.74,Matches
2019-2020,34,Juventus,it ITA,1. Serie A,1st,33,33,2917,32.4,31,5,12,13,3,0,0.96,0.15,1.11,0.59,0.74,26.7,16.9,5.1,0.83,0.16,0.98,0.52,0.68,Matches
2020-2021,35,Juventus,it ITA,1. Serie A,3rd,17,16,1451,16.1,16,2,4,5,1,0,0.99,0.12,1.12,0.74,0.87,12.8,9.0,2.1,0.79,0.13,0.92,0.56,0.69,Matches
